ENST00000000233	2b6hA
ENST00000621663	4ui9E
ENST00000622132	6fn1A
ENST00000622241	5ve6A
ENST00000622263	2eqmA
ENST00000622339	1bsiA
ENST00000622544	1fb1A
ENST00000622749	6ez8B
ENST00000631589	5dahB
ENST00000634733	5kklB
ENST00000634910	5gt0D
ENST00000635253	6aj4A
ENST00000636554	2dirA
ENST00000636580	3lbsB
ENST00000637181	2daeA
ENST00000637854	5oolv
ENST00000638429	2k3gA
ENST00000639083	4bs2A
ENST00000639955	
ENST00000641597	6plfA
ENST00000642017	1nrgA
ENST00000642319	2copA
ENST00000642356	6nt3A
ENST00000642384	5vtbB
ENST00000642580	6nigA
ENST00000642620	4my2A
ENST00000642864	6faeA
ENST00000642900	5m72A
ENST00000642920	6jleE
ENST00000642928	2j8bA
ENST00000643754	4ug0LJ
ENST00000643759	5j4oA
ENST00000644719	5vbuA
ENST00000644744	1exzB
ENST00000644859	4eccA
ENST00000644942	6a1fA
ENST00000645361	2f9qA
ENST00000645446	5n7hA
ENST00000645655	4icuA
ENST00000645674	4v6xAH
ENST00000645694	4egcA
ENST00000646076	5undA
ENST00000646150	1n6uA
ENST00000646274	6mq5A
ENST00000646375	
ENST00000646441	3gxuB
ENST00000646651	4ccgA
ENST00000646664	6anuA
ENST00000646673	5ao0B
ENST00000646743	5mr7B
ENST00000647211	2yrbA
ENST00000647358	3op0A
ENST00000647561	5xtbA
ENST00000647684	1okiB
ENST00000647725	2kiuA
ENST00000647789	1qo5A
ENST00000647854	5cjfA
ENST00000647887	5kq1C
ENST00000647893	2ys0A
ENST00000647941	2aexA
ENST00000648244	4qhuC
ENST00000648319	6cnnA
ENST00000648378	4rduA
ENST00000648405	2x44D
ENST00000648477	2bq8X
ENST00000648566	2mb9A
ENST00000648588	2oqpA
ENST00000648594	1a4rA
ENST00000648651	4byfA
ENST00000648725	5u2jA
ENST00000648839	4ug0LY
ENST00000648894	1rxdA
ENST00000648947	6htsG
ENST00000648994	3hveA
ENST00000649003	2ll2A
ENST00000649012	5gjqQ
ENST00000649031	2l7zA
ENST00000649046	2m0pA
ENST00000649217	3v55A
ENST00000649225	3umrA
ENST00000649294	4joiC
ENST00000649368	5ctdC
ENST00000649427	3sfvA
ENST00000649529	3pseB
ENST00000649637	3n1gA
ENST00000649689	4ah6A
ENST00000649764	2hyiC
ENST00000649765	4j9dB
ENST00000649779	
ENST00000649800	2hw6A
ENST00000649813	5z62H
ENST00000649859	6akoC
ENST00000649979	4gl2A
ENST00000650012	5tptA
ENST00000650070	5u03A
ENST00000650110	4gizA
ENST00000650182	2p01A
ENST00000650242	6hrhA
ENST00000650285	5u8qA
ENST00000650287	6ob0A
ENST00000650309	5z62K
ENST00000650354	2z0oA
ENST00000650372	
ENST00000650450	5ahoA
ENST00000650571	5xjcY
ENST00000650601	1shrB
ENST00000650623	4xuuA
ENST00000650687	2ygdA
ENST00000650688	3vtvA
ENST00000650711	5i6xA
ENST00000650821	5nj3A
ENST00000650871	5z2cA
ENST00000651154	5aejA
ENST00000651168	1ivhA
ENST00000651323	5w2lB
ENST00000651428	6ob7A
ENST00000651472	5lxnA
ENST00000651619	2hgsA
ENST00000651629	1ytqA
ENST00000651669	4ug0Sb
ENST00000651671	6py8F
ENST00000651767	4cdoA
ENST00000651968	1gr3A
ENST00000651975	3ghgJ
ENST00000652046	1ddfA
ENST00000652203	4nqaB
ENST00000652299	2m0cA
ENST00000652382	2zv2A
ENST00000652429	5m6rA
ENST00000652536	3dduA
ENST00000653454	5tbyC
ENST00000654051	2qk9A
ENST00000657391	4ri8A
ENST00000667949	4no3C
ENST00000672018	6c90B
ENST00000672715	2c9yA
ENST00000672722	3c5hA
ENST00000672935	4d4zA
ENST00000673968	2ypaD
